Yer,Puan,Şehir,KullanıcıSayısı,Kategori,Mevsim
Gezilecek Yer 106,4.9,İzmir,40850,Tarihi Yer,Sonbahar
Gezilecek Yer 107,4.5,Konya,18458,Park,Kış
Gezilecek Yer 108,4.6,Muğla,45444,Müze,Bahar
Gezilecek Yer 109,3.9,Bodrum,44531,Park,Yaz
Gezilecek Yer 110,4.5,Ankara,27999,Plaj,Kış
Gezilecek Yer 111,4.2,Bodrum,58528,Restoran,Sonbahar
Gezilecek Yer 112,3.7,Bodrum,1440,Tarihi Yer,Bahar
Gezilecek Yer 113,3.5,İzmir,17481,Tarihi Yer,Sonbahar
Gezilecek Yer 114,4.7,Bodrum,4633,Tarihi Yer,Kış
Gezilecek Yer 115,4.4,Ankara,53827,Restoran,Yaz
Gezilecek Yer 116,3.8,Adana,21373,Müze,Yaz
Gezilecek Yer 117,4.4,İzmir,6861,Tarihi Yer,Kış
Gezilecek Yer 118,4.5,Ankara,2365,Park,Yaz
Gezilecek Yer 119,4.2,Muğla,55961,Restoran,Kış
Gezilecek Yer 120,4.9,Bodrum,25602,Park,Kış
Gezilecek Yer 121,4.8,İzmir,41468,Plaj,Yaz
Gezilecek Yer 122,4.8,Ankara,9348,Park,Bahar
Gezilecek Yer 123,3.9,İzmir,52908,Tarihi Yer,Kış
Gezilecek Yer 124,4.5,Bursa,53154,Restoran,Sonbahar
Gezilecek Yer 125,4.8,Trabzon,50758,Tarihi Yer,Sonbahar
Gezilecek Yer 126,4.2,Trabzon,29921,Müze,Kış
Gezilecek Yer 127,3.8,İzmir,50436,Restoran,Sonbahar
Gezilecek Yer 128,5.0,İzmir,19444,Park,Kış
Gezilecek Yer 129,4.0,Konya,36903,Restoran,Sonbahar
Gezilecek Yer 130,3.9,Muğla,36193,Plaj,Kış
Gezilecek Yer 131,4.1,Adana,46712,Restoran,Bahar
Gezilecek Yer 132,3.6,Antalya,21219,Restoran,Bahar
Gezilecek Yer 133,3.8,Bodrum,9765,Tarihi Yer,Bahar
Gezilecek Yer 134,4.6,Bursa,49719,Plaj,Yaz
Gezilecek Yer 135,4.3,Antalya,17451,Tarihi Yer,Bahar
Gezilecek Yer 136,4.2,Trabzon,20706,Tarihi Yer,Yaz
Gezilecek Yer 137,5.0,Bursa,12554,Park,Bahar
Gezilecek Yer 138,4.9,Bodrum,41225,Tarihi Yer,Bahar
Gezilecek Yer 139,4.7,Muğla,49548,Plaj,Sonbahar
Gezilecek Yer 140,5.0,İzmir,4978,Tarihi Yer,Kış
Gezilecek Yer 141,3.7,Antalya,5628,Müze,Bahar
Gezilecek Yer 142,4.3,Antalya,7198,Müze,Sonbahar
Gezilecek Yer 143,4.4,Muğla,34461,Tarihi Yer,Bahar
Gezilecek Yer 144,4.6,Konya,28342,Müze,Yaz
Gezilecek Yer 145,4.1,Bursa,7679,Park,Bahar
Gezilecek Yer 146,3.7,Antalya,45441,Tarihi Yer,Bahar
Gezilecek Yer 147,4.1,Konya,8057,Restoran,Yaz
Gezilecek Yer 148,4.2,Konya,15815,Plaj,Kış
Gezilecek Yer 149,3.8,Bodrum,34020,Restoran,Sonbahar
Gezilecek Yer 150,3.6,Bursa,40519,Tarihi Yer,Kış
Gezilecek Yer 151,4.0,Ankara,20205,Restoran,Yaz
Gezilecek Yer 152,3.7,Ankara,22295,Müze,Yaz
Gezilecek Yer 153,4.1,İzmir,32498,Müze,Bahar
Gezilecek Yer 154,3.8,Muğla,25681,Restoran,Sonbahar
Gezilecek Yer 155,4.4,Muğla,49250,Tarihi Yer,Yaz
Gezilecek Yer 156,4.4,Konya,23026,Restoran,Yaz
Gezilecek Yer 157,4.9,Bursa,9021,Müze,Sonbahar
Gezilecek Yer 158,4.6,Trabzon,27710,Tarihi Yer,Bahar
Gezilecek Yer 159,4.7,Adana,37345,Restoran,Sonbahar
Gezilecek Yer 160,3.9,Adana,16321,Plaj,Kış
Gezilecek Yer 161,3.8,İstanbul,49737,Tarihi Yer,Kış
Gezilecek Yer 162,4.1,İstanbul,20166,Tarihi Yer,Yaz
Gezilecek Yer 163,4.4,Antalya,48099,Plaj,Bahar
Gezilecek Yer 164,4.1,İstanbul,34909,Park,Kış
Gezilecek Yer 165,4.2,İstanbul,5689,Park,Yaz
Gezilecek Yer 166,4.6,Ankara,14284,Tarihi Yer,Yaz
Gezilecek Yer 167,3.8,Trabzon,590,Restoran,Sonbahar
Gezilecek Yer 168,4.2,Antalya,10742,Plaj,Kış
Gezilecek Yer 169,4.3,İzmir,4148,Müze,Kış
Gezilecek Yer 170,4.2,Adana,13080,Restoran,Kış
Gezilecek Yer 171,4.0,Trabzon,397,Park,Yaz
Gezilecek Yer 172,4.9,Antalya,58181,Müze,Bahar
Gezilecek Yer 173,4.7,İstanbul,45602,Plaj,Bahar
Gezilecek Yer 174,4.1,Bodrum,23624,Tarihi Yer,Kış
Gezilecek Yer 175,4.6,İzmir,50810,Restoran,Bahar
Gezilecek Yer 176,4.1,Adana,13325,Restoran,Kış
Gezilecek Yer 177,4.2,Bodrum,3231,Müze,Kış
Gezilecek Yer 178,4.3,Trabzon,965,Restoran,Bahar
Gezilecek Yer 179,4.7,Muğla,47058,Park,Bahar
Gezilecek Yer 180,5.0,Bursa,55546,Restoran,Sonbahar
Gezilecek Yer 181,3.7,Bodrum,10749,Müze,Kış
Gezilecek Yer 182,4.0,Konya,43423,Tarihi Yer,Bahar
Gezilecek Yer 183,4.1,Antalya,54328,Restoran,Bahar
Gezilecek Yer 184,3.6,Ankara,5699,Restoran,Sonbahar
Gezilecek Yer 185,3.9,Konya,6197,Müze,Bahar
Gezilecek Yer 186,4.0,İzmir,18204,Park,Bahar
Gezilecek Yer 187,3.7,İstanbul,30501,Müze,Yaz
Gezilecek Yer 188,4.2,İzmir,1574,Tarihi Yer,Kış
Gezilecek Yer 189,4.0,Bursa,15435,Plaj,Sonbahar
Gezilecek Yer 190,4.5,Muğla,24345,Park,Sonbahar
Gezilecek Yer 191,4.0,Muğla,34416,Restoran,Bahar
Gezilecek Yer 192,4.3,Muğla,10114,Tarihi Yer,Bahar
Gezilecek Yer 193,4.2,İzmir,1685,Plaj,Kış
Gezilecek Yer 194,4.8,Adana,58215,Park,Kış
Gezilecek Yer 195,3.8,Antalya,42438,Tarihi Yer,Bahar
Gezilecek Yer 196,3.9,Bodrum,52481,Park,Sonbahar
Gezilecek Yer 197,4.3,Antalya,24153,Park,Sonbahar
Gezilecek Yer 198,4.4,İzmir,37974,Tarihi Yer,Bahar
Gezilecek Yer 199,4.6,Muğla,46017,Tarihi Yer,Sonbahar
Gezilecek Yer 200,4.5,Ankara,54378,Tarihi Yer,Kış
Gezilecek Yer 201,4.9,İzmir,11092,Restoran,Yaz
Gezilecek Yer 202,4.8,Adana,57264,Tarihi Yer,Yaz
Gezilecek Yer 203,4.7,Bursa,36284,Park,Sonbahar
Gezilecek Yer 204,3.6,Konya,26974,Müze,Sonbahar
Gezilecek Yer 205,3.6,Adana,59457,Tarihi Yer,Yaz
Gezilecek Yer 206,3.6,Konya,52419,Müze,Bahar
Gezilecek Yer 207,4.0,Adana,4092,Müze,Kış
Gezilecek Yer 208,3.5,Muğla,29692,Restoran,Sonbahar
Gezilecek Yer 209,4.6,Muğla,16833,Tarihi Yer,Sonbahar
Gezilecek Yer 210,4.4,Adana,52366,Plaj,Bahar
Gezilecek Yer 211,4.1,İstanbul,51248,Park,Kış
Gezilecek Yer 212,4.3,Bursa,57922,Plaj,Yaz
Gezilecek Yer 213,5.0,Bursa,41408,Tarihi Yer,Yaz
Gezilecek Yer 214,3.8,Trabzon,19385,Park,Bahar
Gezilecek Yer 215,3.8,Muğla,21265,Tarihi Yer,Yaz
Gezilecek Yer 216,3.8,Adana,9436,Plaj,Kış
Gezilecek Yer 217,3.9,İzmir,57307,Restoran,Bahar
Gezilecek Yer 218,4.9,Ankara,27123,Restoran,Bahar
Gezilecek Yer 219,4.5,Konya,36697,Park,Kış
Gezilecek Yer 220,4.1,Bodrum,8914,Tarihi Yer,Kış
Gezilecek Yer 221,3.7,Muğla,53684,Plaj,Sonbahar
Gezilecek Yer 222,4.3,İzmir,30201,Plaj,Yaz
Gezilecek Yer 223,4.5,Antalya,46227,Tarihi Yer,Bahar
Gezilecek Yer 224,4.8,Trabzon,19567,Plaj,Kış
Gezilecek Yer 225,4.3,Antalya,36863,Plaj,Kış
Gezilecek Yer 226,4.4,İstanbul,25935,Müze,Kış
Gezilecek Yer 227,3.8,İstanbul,28976,Plaj,Bahar
Gezilecek Yer 228,3.7,Bodrum,50950,Park,Sonbahar
Gezilecek Yer 229,4.3,Trabzon,50978,Park,Sonbahar
Gezilecek Yer 230,4.1,İzmir,24514,Restoran,Sonbahar
Gezilecek Yer 231,4.7,Adana,18871,Tarihi Yer,Yaz
Gezilecek Yer 232,4.4,Bursa,8641,Plaj,Yaz
Gezilecek Yer 233,4.3,İstanbul,31403,Müze,Sonbahar
Gezilecek Yer 234,4.4,Antalya,52404,Tarihi Yer,Bahar
Gezilecek Yer 235,3.6,Muğla,45393,Plaj,Bahar
Gezilecek Yer 236,4.7,Muğla,1278,Park,Yaz
Gezilecek Yer 237,4.6,Muğla,44344,Restoran,Yaz
Gezilecek Yer 238,4.2,Adana,38608,Park,Kış
Gezilecek Yer 239,3.9,Trabzon,18569,Plaj,Kış
Gezilecek Yer 240,4.7,Muğla,48524,Park,Kış
Gezilecek Yer 241,4.7,İzmir,50630,Tarihi Yer,Kış
Gezilecek Yer 242,4.6,Konya,20583,Park,Bahar
Gezilecek Yer 243,4.2,Konya,46370,Müze,Bahar
Gezilecek Yer 244,3.7,Ankara,31104,Park,Bahar
Gezilecek Yer 245,3.8,İstanbul,47937,Park,Sonbahar
Gezilecek Yer 246,4.9,Trabzon,40180,Restoran,Bahar
Gezilecek Yer 247,4.9,Konya,28542,Park,Yaz
Gezilecek Yer 248,3.7,Bursa,49964,Restoran,Kış
Gezilecek Yer 249,4.0,İstanbul,38784,Park,Yaz
Gezilecek Yer 250,4.1,İstanbul,23239,Park,Sonbahar
Gezilecek Yer 251,4.0,Adana,1374,Plaj,Sonbahar
Gezilecek Yer 252,4.8,Ankara,25907,Plaj,Kış
Gezilecek Yer 253,3.6,Antalya,48998,Park,Sonbahar
Gezilecek Yer 254,4.3,Adana,42168,Müze,Sonbahar
Gezilecek Yer 255,4.9,Muğla,16996,Tarihi Yer,Sonbahar
Gezilecek Yer 256,4.2,Antalya,6358,Tarihi Yer,Kış
Gezilecek Yer 257,4.2,Adana,51733,Tarihi Yer,Bahar
Gezilecek Yer 258,4.1,Adana,51744,Tarihi Yer,Kış
Gezilecek Yer 259,3.9,Trabzon,35167,Müze,Sonbahar
Gezilecek Yer 260,3.6,Bursa,51160,Park,Sonbahar
Gezilecek Yer 261,3.9,Antalya,29274,Park,Sonbahar
Gezilecek Yer 262,4.4,Muğla,21780,Müze,Kış
Gezilecek Yer 263,4.2,Konya,59897,Restoran,Kış
Gezilecek Yer 264,5.0,İstanbul,19296,Müze,Sonbahar
Gezilecek Yer 265,4.0,Muğla,32535,Plaj,Kış
Gezilecek Yer 266,3.7,İzmir,13397,Plaj,Bahar
Gezilecek Yer 267,3.7,Muğla,33776,Restoran,Yaz
Gezilecek Yer 268,3.7,Muğla,31777,Tarihi Yer,Sonbahar
Gezilecek Yer 269,4.3,Ankara,12015,Müze,Bahar
Gezilecek Yer 270,4.6,Muğla,46084,Tarihi Yer,Kış
Gezilecek Yer 271,4.2,Muğla,6044,Restoran,Kış
Gezilecek Yer 272,3.8,Antalya,46962,Tarihi Yer,Kış
Gezilecek Yer 273,3.6,Bursa,9846,Plaj,Bahar
Gezilecek Yer 274,4.5,Bodrum,28344,Tarihi Yer,Sonbahar
Gezilecek Yer 275,3.8,Muğla,26844,Müze,Kış
Gezilecek Yer 276,4.3,Antalya,29393,Park,Yaz
Gezilecek Yer 277,4.5,Ankara,46365,Plaj,Sonbahar
Gezilecek Yer 278,3.9,Bursa,23429,Park,Bahar
Gezilecek Yer 279,4.7,Konya,21175,Plaj,Bahar
Gezilecek Yer 280,3.6,İstanbul,18094,Park,Kış
Gezilecek Yer 281,4.4,Antalya,22191,Tarihi Yer,Yaz
Gezilecek Yer 282,4.7,İzmir,56990,Park,Yaz
Gezilecek Yer 283,3.5,Trabzon,34817,Müze,Yaz
Gezilecek Yer 284,4.0,İstanbul,18814,Restoran,Sonbahar
Gezilecek Yer 285,4.8,Ankara,10726,Restoran,Kış
Gezilecek Yer 286,4.0,Bodrum,37937,Restoran,Bahar
Gezilecek Yer 287,4.9,İzmir,38558,Restoran,Bahar
Gezilecek Yer 288,3.9,İzmir,56834,Restoran,Kış
Gezilecek Yer 289,4.6,Bodrum,37984,Tarihi Yer,Sonbahar
Gezilecek Yer 290,3.9,Muğla,1286,Tarihi Yer,Kış
Gezilecek Yer 291,4.5,Muğla,16841,Plaj,Sonbahar
Gezilecek Yer 292,3.9,Bursa,54296,Restoran,Sonbahar
Gezilecek Yer 293,3.7,Konya,30374,Plaj,Bahar
Gezilecek Yer 294,4.5,İstanbul,22590,Restoran,Kış
Gezilecek Yer 295,3.8,İzmir,36606,Tarihi Yer,Bahar
Gezilecek Yer 296,4.0,Konya,10473,Müze,Bahar
Gezilecek Yer 297,4.8,Adana,42592,Tarihi Yer,Kış
Gezilecek Yer 298,4.7,Muğla,16014,Park,Bahar
Gezilecek Yer 299,4.0,İstanbul,33767,Plaj,Yaz
Gezilecek Yer 300,4.6,Ankara,58754,Müze,Bahar
Gezilecek Yer 301,4.7,Konya,45752,Müze,Sonbahar
Gezilecek Yer 302,4.4,Muğla,2297,Müze,Yaz
Gezilecek Yer 303,4.9,İzmir,27876,Plaj,Yaz
Gezilecek Yer 304,5.0,Konya,39224,Tarihi Yer,Sonbahar
Gezilecek Yer 305,4.1,Bursa,2609,Tarihi Yer,Sonbahar
Gezilecek Yer 306,4.1,İstanbul,28553,Tarihi Yer,Sonbahar
Gezilecek Yer 307,4.9,Adana,52125,Tarihi Yer,Yaz
Gezilecek Yer 308,4.9,Bursa,28702,Restoran,Bahar
Gezilecek Yer 309,3.7,Antalya,21747,Plaj,Sonbahar
Gezilecek Yer 310,4.5,Trabzon,22152,Park,Sonbahar
Gezilecek Yer 311,3.8,Muğla,2150,Park,Kış
Gezilecek Yer 312,3.8,Bodrum,58752,Tarihi Yer,Yaz
Gezilecek Yer 313,4.4,Konya,39784,Park,Yaz
Gezilecek Yer 314,4.7,Bursa,26390,Tarihi Yer,Sonbahar
Gezilecek Yer 315,4.5,Antalya,41463,Plaj,Kış
Gezilecek Yer 316,4.5,Adana,17039,Restoran,Bahar
Gezilecek Yer 317,4.1,Bodrum,33609,Tarihi Yer,Bahar
Gezilecek Yer 318,3.8,Adana,59501,Restoran,Kış
Gezilecek Yer 319,3.5,İzmir,707,Park,Yaz
Gezilecek Yer 320,4.6,Antalya,46043,Restoran,Bahar
Gezilecek Yer 321,4.9,Adana,20116,Park,Kış
Gezilecek Yer 322,4.7,Antalya,13362,Plaj,Yaz
Gezilecek Yer 323,4.5,Bursa,41437,Plaj,Sonbahar
Gezilecek Yer 324,4.5,Bodrum,25270,Müze,Kış
Gezilecek Yer 325,4.9,Bodrum,32325,Restoran,Sonbahar
Gezilecek Yer 326,3.8,Bursa,35883,Park,Bahar
Gezilecek Yer 327,3.6,İzmir,18276,Restoran,Yaz
Gezilecek Yer 328,3.8,Trabzon,21551,Restoran,Yaz
Gezilecek Yer 329,3.8,İzmir,40625,Restoran,Bahar
Gezilecek Yer 330,4.5,İzmir,6232,Park,Sonbahar
Gezilecek Yer 331,4.0,Antalya,131,Tarihi Yer,Yaz
Gezilecek Yer 332,4.3,Bursa,24271,Park,Kış
Gezilecek Yer 333,3.7,Muğla,15679,Müze,Bahar
Gezilecek Yer 334,4.4,Trabzon,59419,Restoran,Sonbahar
Gezilecek Yer 335,3.6,Bursa,45396,Tarihi Yer,Bahar
Gezilecek Yer 336,4.5,Bursa,48768,Park,Yaz
Gezilecek Yer 337,3.8,Bodrum,22612,Müze,Sonbahar
Gezilecek Yer 338,4.9,İzmir,15922,Restoran,Yaz
Gezilecek Yer 339,3.9,Konya,32446,Plaj,Yaz
Gezilecek Yer 340,3.5,Trabzon,3316,Park,Yaz
Gezilecek Yer 341,4.3,Muğla,53966,Park,Yaz
Gezilecek Yer 342,4.5,Muğla,56274,Müze,Sonbahar
Gezilecek Yer 343,3.6,İstanbul,26195,Tarihi Yer,Kış
Gezilecek Yer 344,4.9,Adana,23368,Park,Kış
Gezilecek Yer 345,5.0,Konya,46084,Plaj,Kış
Gezilecek Yer 346,4.4,Konya,14073,Tarihi Yer,Yaz
Gezilecek Yer 347,4.6,Trabzon,42433,Park,Kış
Gezilecek Yer 348,3.9,Trabzon,2991,Park,Sonbahar
Gezilecek Yer 349,3.5,İzmir,46414,Park,Bahar
Gezilecek Yer 350,3.5,Konya,25510,Plaj,Kış
Gezilecek Yer 351,4.5,Antalya,57214,Tarihi Yer,Bahar
Gezilecek Yer 352,3.6,İzmir,20116,Restoran,Yaz
Gezilecek Yer 353,4.6,Antalya,4389,Plaj,Bahar
Gezilecek Yer 354,3.5,Bursa,9884,Müze,Yaz
Gezilecek Yer 355,4.8,İzmir,36377,Plaj,Bahar
Gezilecek Yer 356,4.4,Muğla,51120,Plaj,Sonbahar
Gezilecek Yer 357,4.7,Ankara,50251,Restoran,Kış
Gezilecek Yer 358,4.6,Bursa,46870,Tarihi Yer,Kış
Gezilecek Yer 359,4.9,Antalya,10005,Müze,Yaz
Gezilecek Yer 360,4.9,İzmir,5942,Tarihi Yer,Bahar
Gezilecek Yer 361,3.6,İstanbul,9022,Park,Bahar
Gezilecek Yer 362,3.8,Trabzon,16421,Müze,Yaz
Gezilecek Yer 363,4.0,Konya,50011,Park,Yaz
Gezilecek Yer 364,4.7,Ankara,59682,Park,Bahar
Gezilecek Yer 365,4.7,Trabzon,28681,Müze,Yaz
Gezilecek Yer 366,4.7,İstanbul,28692,Müze,Bahar
Gezilecek Yer 367,4.1,Antalya,42931,Restoran,Kış
Gezilecek Yer 368,4.7,Bodrum,11270,Plaj,Yaz
Gezilecek Yer 369,4.2,İstanbul,49901,Müze,Bahar
Gezilecek Yer 370,3.9,Antalya,35836,Park,Sonbahar
Gezilecek Yer 371,4.2,Bursa,56089,Restoran,Yaz
Gezilecek Yer 372,3.7,Trabzon,37224,Park,Bahar
Gezilecek Yer 373,3.9,İzmir,20056,Plaj,Kış
Gezilecek Yer 374,4.4,Ankara,25078,Tarihi Yer,Kış
Gezilecek Yer 375,3.6,Bursa,7148,Tarihi Yer,Kış
Gezilecek Yer 376,3.9,Antalya,20639,Restoran,Sonbahar
Gezilecek Yer 377,3.9,Bursa,47885,Müze,Sonbahar
Gezilecek Yer 378,4.4,İzmir,514,Tarihi Yer,Yaz
Gezilecek Yer 379,4.9,Antalya,31010,Müze,Kış
Gezilecek Yer 380,3.6,Adana,6829,Park,Sonbahar
Gezilecek Yer 381,4.7,Trabzon,56681,Plaj,Kış
Gezilecek Yer 382,3.8,Bodrum,13586,Park,Bahar
Gezilecek Yer 383,3.7,İzmir,27627,Plaj,Kış
Gezilecek Yer 384,3.7,Bodrum,14742,Tarihi Yer,Kış
Gezilecek Yer 385,4.3,Bodrum,39945,Plaj,Kış
Gezilecek Yer 386,4.6,Trabzon,37648,Restoran,Sonbahar
Gezilecek Yer 387,3.6,Konya,24210,Restoran,Sonbahar
Gezilecek Yer 388,3.6,Bursa,24618,Restoran,Yaz
Gezilecek Yer 389,3.5,Trabzon,46307,Restoran,Yaz
Gezilecek Yer 390,3.9,Trabzon,53961,Park,Sonbahar
Gezilecek Yer 391,4.7,Ankara,19842,Restoran,Kış
Gezilecek Yer 392,4.7,Adana,37689,Müze,Sonbahar
Gezilecek Yer 393,4.5,Bursa,29851,Tarihi Yer,Bahar
Gezilecek Yer 394,4.0,Trabzon,57870,Tarihi Yer,Sonbahar
Gezilecek Yer 395,4.9,Ankara,8881,Restoran,Sonbahar
Gezilecek Yer 396,4.4,Antalya,7541,Tarihi Yer,Kış
Gezilecek Yer 397,4.1,Muğla,5635,Plaj,Sonbahar
Gezilecek Yer 398,3.9,İzmir,36414,Tarihi Yer,Bahar
Gezilecek Yer 399,4.0,Ankara,46586,Plaj,Kış
Gezilecek Yer 400,4.4,İzmir,21473,Restoran,Yaz
Gezilecek Yer 401,3.9,Antalya,37950,Müze,Bahar
Gezilecek Yer 402,4.2,İstanbul,16878,Plaj,Bahar
